Jokes,Offensive,Explicit
"So my lesbian neighbours asked me what I wanted for my birthday... They got me a Rolex. I guess they misunderstood when I said """"I wanna watch"""".",1,no
Why did the Mexican soccer team bring rope to the game? Because they wanted to tie the score.,0,no
Last night at the airport there was a woman completely passed out in the baggage carousel. She slowly came around.,0,no
What kind of pie can fly? A Magpie.,0,no
What's similar between a gay man and an atom bomb? They both make men explode!,1,yes
How warm is a janitor's closet? Broom temperature.,0,no
What do my gardening tools and my girlfriend have in common? Both hoes get thrown in the garage when I'm done with them.,1,yes
How can you tell when a blonde is having a bad day? She has her tampon behind her ear and she cant find her pencil!,1,no
I always get homophone and homophobe mixed up. I just know that one of them secretly likes caulk.,1,yes
I finally realised my parents favoured my twin brother. It hit me when they asked me to blow up the balloons for a surprise birthday party.,0,no
